,intercolumnar distance,upper margin,lower margin,exploitation,row number,modular ratio,interlinear spacing,weight,peak number,modular ratio/ interlinear spacing,Class
0,-0.054866,0.580242,0.032912000000000004,-0.016668000000000002,0.261718,0.854712,0.031425,0.445486,0.219991,0.9136110000000001,A
1,0.401857,-0.220579,-3.210528,-1.1855129999999998,-1.168333,0.024215,0.144676,-0.704178,-0.403638,0.06535099999999999,A
2,0.10560399999999999,-0.087108,0.367214,1.522618,0.261718,-0.266459,0.031425,-0.9766540000000001,-1.619716,-0.137657,A
3,0.327793,-0.142067,0.48101800000000006,-2.171392,0.261718,-0.266459,0.257927,0.132004,0.62535,-0.260088,A
4,0.019197,-0.28338800000000003,0.214288,0.857677,0.261718,-0.10036,0.144676,1.069769,0.438262,-0.021818999999999998,A
5,0.019197,-0.087108,0.292529,0.24077600000000002,0.17234000000000002,0.730137,0.7864329999999999,-0.559203,0.31353600000000004,0.329383,A
6,0.327793,-0.142067,0.48101800000000006,-2.171392,0.261718,-0.22493400000000002,0.408929,-0.552388,-0.403638,-0.294229,A
7,0.229043,0.572391,0.050694,-0.980138,-0.27455100000000005,-2.425751,0.257927,-0.666862,0.9371649999999999,-2.2049790000000002,A
8,0.068573,0.148427,0.111153,0.179577,0.261718,0.771662,0.824183,-0.31185100000000004,-0.091823,0.34591,A
9,-0.042522000000000004,-0.236281,-3.210528,-0.27205100000000004,0.261718,2.6402799999999997,0.408929,-0.364875,0.001721,2.2348779999999997,A
10,0.056228999999999994,-0.087108,0.089814,1.312409,0.08296100000000001,1.26996,-0.157328,0.586791,0.157628,1.3980219999999999,A
11,0.229043,0.572391,0.050694,-0.980138,-0.27455100000000005,-2.384226,-2.611104,1.167273,-1.806804,-3.531333,A
12,0.031541,0.117022,-0.17691600000000002,-0.620739,-1.168333,-0.6401819999999999,-2.4601029999999997,-1.144053,-3.20997,-0.8584809999999999,A
13,0.043885,0.407516,-0.12001400000000001,0.28174299999999997,0.261718,-0.058835000000000005,0.295677,0.589956,0.500624,-0.08479500000000001,A
14,-0.128929,0.383963,0.23206999999999997,1.248675,0.261718,0.771662,0.371178,0.855442,0.375899,0.594367,A
15,0.192011,0.509582,0.07914500000000001,1.072093,0.261718,1.0208110000000001,0.295677,0.430613,0.438262,0.86879,A
16,1.21655,0.156278,-0.013322,0.353593,0.17234000000000002,0.730137,0.484429,-0.418713,-0.777816,0.5105,A
17,0.15498,0.140576,0.228514,0.766134,-1.257711,-0.14188399999999998,0.257927,1.282678,-0.060641999999999995,-0.147047,A
18,0.167323,0.22693899999999997,0.23918299999999998,-0.094813,0.17234000000000002,-0.183409,1.126187,-2.003748,-1.8691669999999998,-0.642875,A
19,0.192011,0.509582,0.07914500000000001,1.072093,0.261718,1.145386,0.069175,0.935026,0.594169,1.129796,A
20,0.21669899999999997,-0.189174,0.352988,-2.20129,0.261718,0.273364,0.257927,-0.641098,0.126447,0.22799899999999998,A
21,0.10560399999999999,-0.251983,0.466793,0.287084,0.261718,-0.9308559999999999,0.069175,0.831076,0.219991,-0.765271,A
22,0.327793,-0.142067,0.48101800000000006,-2.171392,0.261718,1.0208110000000001,0.55993,-0.36306900000000003,0.31353600000000004,0.713592,A
23,0.389513,0.37611100000000003,0.018686,-0.690978,0.08296100000000001,0.231839,0.295677,-0.536021,-0.185368,0.163673,A
24,-2.215039,-0.17347100000000001,3.9413989999999997,-1.56941,-2.5090049999999997,-3.2424060000000003,-0.05666,2.465329,-2.700673,-2.8374639999999998,A
25,-0.153617,-0.26768600000000004,-3.210528,-0.35177800000000004,-0.006417,0.647088,0.182426,0.0017469999999999999,0.282354,0.608749,A
26,0.15498,0.23479,0.210732,0.643738,0.17234000000000002,2.349606,1.0129350000000001,-1.4707569999999999,-0.87136,1.584829,A
27,0.31545,-0.236281,0.37077,0.812174,0.261718,-0.22493400000000002,0.220177,1.0627209999999998,0.095265,-0.19431600000000002,A
28,0.068573,-0.197025,0.032912000000000004,0.615571,0.08296100000000001,0.522513,1.6546919999999998,-0.291601,0.500624,-0.289925,A
29,0.13029200000000002,0.8707360000000001,-3.210528,0.06249299999999999,0.261718,0.8962370000000001,0.333428,0.8722559999999999,0.344717,0.737401,A
30,0.167323,0.313302,0.16805499999999998,-0.383198,0.261718,0.273364,0.220177,0.576055,-0.060641999999999995,0.251338,A
31,0.117948,0.289748,0.392108,-1.747095,0.261718,0.356414,0.597681,1.257691,0.032902,0.113223,A
32,0.006853,0.038511000000000004,-0.376075,0.9638110000000001,-0.006417,-0.349509,-0.34608,-1.477474,-1.49499,0.03912,A
33,0.37716900000000003,0.179832,0.064919,-1.533962,0.261718,1.394535,0.748682,-0.91369,-0.278912,0.9291379999999999,A
34,0.17966700000000002,-0.212727,0.132491,-1.3065069999999999,0.261718,0.190314,0.899684,0.405277,0.375899,-0.199476,A
35,0.068573,0.533135,0.48813100000000004,0.25566500000000003,-0.6320640000000001,1.26996,0.824183,-0.480785,-0.029461,0.773783,A
36,0.14263599999999999,-1.916434,-0.023991,-0.504341,0.261718,0.397939,0.861934,-1.577309,-1.027268,-0.017371,A
